Stage,TimeStep,Node,r_U,r_D,P_lsh,delta_RT,s
RT,1,45,0.0,0.0,0.0,-36.221952284589605,0.0
RT,1,46,0.0,0.0,0.0,-33.13903701033513,0.0
RT,1,47,0.0,0.0,0.0,-35.1600617270436,0.0
RT,1,48,0.0,0.0,0.0,-35.37513858865168,0.0
RT,1,49,0.0,0.0,0.0,-36.68312985571413,0.0
RT,1,50,0.0,0.0,0.0,-38.229942842798266,0.0
RT,1,51,0.0,0.0,0.0,-38.41338946064957,0.0
RT,1,52,0.0,0.0,0.0,-40.37694518299875,0.0
RT,1,53,73.3830758,0.0,0.0,-43.22790753653206,0.0
RT,1,54,25.8383089,0.0,0.0,-43.77956416451116,0.0
RT,1,55,0.0,0.0,0.0,-43.20263858238829,0.0
RT,1,56,0.0,0.0,0.0,-40.13889669327125,0.0
RT,1,57,0.0,0.0,0.0,-40.1075358969058,0.0
RT,1,58,0.100698852,0.0,0.0,-38.8428445412394,0.0
RT,1,59,0.0,0.0,0.0,-33.3631792045411,0.0
RT,1,60,0.0,0.0541453524,0.0,-33.66444014404436,0.0
RT,1,61,0.0184451274,0.0,0.0,-32.15228892548009,0.0
RT,1,62,0.0,0.0,0.0,-34.07590415041582,0.0
RT,1,63,0.0,0.0,0.0,-31.605986849470952,25.3038237999815
RT,1,64,0.0,0.0,14.277193589195122,-26.320986849470955,0.0
RT,1,65,0.0,0.0,0.0,-30.184857840770746,0.0
RT,1,66,0.0,0.0,0.0,-30.347216168926167,0.0
RT,1,67,0.0,0.0,14.554550855231355,-23.520986849470944,0.0
RT,1,68,0.0,0.0,0.0,-21.12114761715054,0.0
RT,1,69,0.0354775345,0.0,0.0,-11.677537154805322,0.0
RT,1,70,0.0,0.0,0.0,-10.500521434863373,0.0
RT,1,71,0.0,0.0,0.0,-5.065934885077155,0.0
RT,1,72,0.0,0.0,0.0,-10.365991024679516,0.0
RT,1,73,0.0599144973,0.0,0.0,-12.234273991770266,0.0
RT,1,74,0.0,0.0,0.0,-13.76054019828905,0.0
RT,1,75,0.0146286622,0.0,0.0,-13.45934001084106,0.0
RT,1,76,0.0309752347,0.0,0.0,-19.12449282653529,0.0
RT,1,77,0.0,0.0,0.0,-18.867520566316557,0.0
RT,1,78,0.0,0.0,0.0,-19.217447274665346,0.0
RT,1,79,0.0,0.0,0.0,-21.58304358725968,0.0
RT,1,80,0.0,0.0,0.0,-22.83660828484389,0.0
RT,1,81,0.0,0.0,0.0,-20.99936415276926,0.0
RT,1,82,0.0,0.0,0.0,-20.5322624947529,0.0
RT,1,83,0.0,0.0,0.0,-20.235878099313766,0.0
RT,1,84,0.0792489592,0.0,0.0,-20.440180352736405,0.0
RT,1,85,0.0,0.0,0.0,-19.170806792575206,0.0
RT,1,86,0.0331620465,0.0,0.0,-19.181420878213117,0.0
RT,1,87,0.0,0.0,0.0,-21.199766323802635,0.0
RT,1,88,0.0,0.0,0.0,-23.41784001886765,0.0
RT,1,89,0.0117774468,0.0,0.0,-20.28762829957796,0.0
RT,1,90,0.0,0.0,0.0,-22.98691653946551,0.0
RT,1,91,0.0301755183,0.0,0.0,-27.105074139096786,0.0
RT,1,92,0.0,0.0,0.0,-28.37107901710249,0.0
RT,1,93,0.0,0.0,12.4047831129227,-29.897720107020405,0.0
RT,1,94,0.0,0.0,0.0,-26.898603442003008,0.0
RT,1,95,0.0,0.0,0.0,-24.253229590832348,0.0
RT,1,96,0.0,0.0,0.0,-22.617463989167845,0.0
RT,1,97,0.0,0.0,0.0,-27.400359627173373,0.0
RT,1,98,0.0,0.0,0.0,-33.61782785587866,0.0
RT,1,99,0.0235063277,0.0,0.0,-40.04772010702041,0.0
RT,1,100,0.0,0.0,0.0,-33.651923468375685,0.0
RT,1,101,0.0,0.0,0.0,-29.19267834096391,0.0
RT,1,102,0.0,0.0,0.0,-49.23522010702044,19.354079216302296
RT,1,103,0.0326229402,0.0,0.0,-55.228076610313536,0.0
RT,1,104,49.5373788,0.0,0.0,-56.400416895983824,0.0
RT,1,105,0.0,0.0,0.0,-54.23370700457335,0.0
RT,1,106,0.0,0.0,0.0,-62.20760296866614,0.0
RT,1,107,0.0,0.0,0.0,-56.418316313002606,0.0
RT,1,108,0.0,0.0,0.0,-56.454096176822645,0.0
RT,1,109,0.037159556,0.0,0.0,-56.849827382401884,0.0
RT,1,110,0.0,0.0,0.0,-56.849827382401884,0.0
RT,1,111,0.0,0.0,0.0,-54.70290417544487,0.0
RT,1,112,0.0085063837,0.0,0.0,-0.3938007457272761,0.0
RT,1,113,0.0,0.0,0.0,6.438899349640565,0.0
RT,1,114,0.0,0.0,0.0,6.546407711724726,0.0
RT,1,115,0.0583259791,0.0,0.0,-23.15319053786169,0.0
RT,1,116,0.0,0.0,0.0,5.258184990126182,0.0
RT,1,117,0.0,0.0,0.0,-13.203144692517668,0.0
RT,2,0,0.0,0.0,0.0,0.0,0.0
RT,2,1,0.0,0.0,0.0,3.0963698969373183,0.0
RT,2,2,0.0,0.0,0.0,1.9846389440287169,0.0
RT,2,3,0.0,0.0,0.0,3.7270742951992304,0.0
RT,2,4,0.0,0.0,0.0,3.529352234526499,0.0
RT,2,5,0.0221358122,0.0,0.0,4.750462553809001,0.0
RT,2,6,0.0,0.0,0.0,4.750509460570612,0.0
RT,2,7,0.034073262,0.0,0.0,2.2242720112852226,0.0
RT,2,8,0.0,0.0,0.0,2.2241854138839017,0.0
RT,2,9,0.00283925906,0.0,0.0,2.2240939897421583,0.0
